State,Quarterly Establishments,July Employment,August Employment,September Employment,Total Quarterly Wages,Average Weekly Wage,September Employment Location Quotient,Total Quarterly Wages Location Quotient
U.S. TOTAL,11305068 ,130061825 ,130201570 ,129668076 ,2252570378881 ,1333 ,1,1
Alabama,143670 ,1663137 ,1662320 ,1665039 ,23894175549 ,1105 ,0.96,0.94
Alaska,22855 ,269724 ,264614 ,250110 ,4424246489 ,1302 ,0.9,0.92
Arizona,202592 ,2647855 ,2669619 ,2680060 ,43173434443 ,1246 ,1.01,1.01
Arkansas,95817 ,1056154 ,1061894 ,1065121 ,14318959442 ,1038 ,0.98,0.99
California,1704975 ,15554604 ,15613972 ,15575176 ,321747390428 ,1588 ,1.01,1
Colorado,243582 ,2416363 ,2410730 ,2377699 ,44987786883 ,1441 ,0.99,0.99
Connecticut,137209 ,1446835 ,1438873 ,1433217 ,27981630716 ,1495 ,1.01,1.02
Delaware,39137 ,403445 ,403019 ,398517 ,6715450783 ,1286 ,1,0.99
District of Columbia,48659 ,518335 ,517844 ,521530 ,13749989248 ,2037 ,0.8,0.76
Florida,854730 ,8294087 ,8329665 ,8343926 ,131459092660 ,1215 ,1.03,1.03
Georgia,369852 ,4079550 ,4077042 ,4079452 ,67266653466 ,1269 ,1.01,1.01
Hawaii,50922 ,503689 ,504395 ,504764 ,7582725539 ,1157 ,0.94,0.9
Idaho,83961 ,715379 ,715752 ,709515 ,9920724932 ,1069 ,0.99,1
Illinois,402262 ,5234554 ,5239094 ,5208751 ,93349112211 ,1374 ,1.02,1.03
Indiana,182604 ,2768445 ,2765986 ,2752502 ,40523817610 ,1128 ,1.02,1.03
Iowa,104809 ,1318269 ,1312822 ,1299837 ,18927943749 ,1111 ,0.98,0.98
Kansas,90732 ,1165398 ,1165805 ,1159362 ,16786654543 ,1110 ,0.96,0.99
Kentucky,137104 ,1649167 ,1650518 ,1651475 ,23371855851 ,1089 ,0.99,1.01
Louisiana,144871 ,1568228 ,1572930 ,1571847 ,22670301623 ,1110 ,0.98,0.99
Maine,59133 ,555712 ,554480 ,539656 ,7929192737 ,1109 ,0.99,0.98
Maryland,184478 ,2196832 ,2189781 ,2166701 ,38643197944 ,1361 ,0.95,0.91
Massachusetts,284967 ,3239411 ,3230913 ,3191287 ,69790327690 ,1667 ,1.03,1.04
Michigan,288271 ,3796519 ,3801952 ,3771228 ,60582609792 ,1230 ,1.01,1.01
Minnesota,194766 ,2544838 ,2548269 ,2509608 ,44618866177 ,1354 ,1.02,1.03
Mississippi,77483 ,918233 ,921904 ,924313 ,11082155668 ,925 ,0.94,0.92
Missouri,227318 ,2449184 ,2451299 ,2443413 ,37081054385 ,1165 ,1,1.02
Montana,58928 ,428419 ,428491 ,420490 ,5872759733 ,1061 ,0.97,0.98
Nebraska,77044 ,836821 ,836823 ,829744 ,12100459107 ,1115 ,0.98,0.98
Nevada,105614 ,1320989 ,1328906 ,1338042 ,20438571295 ,1183 ,1.04,1.02
New Hampshire,61179 ,607753 ,606993 ,593243 ,10925261529 ,1394 ,1.02,1.05
New Jersey,315314 ,3653747 ,3641433 ,3612321 ,69096465139 ,1462 ,1.01,1.02
New Mexico,66842 ,662048 ,665592 ,663454 ,9079074523 ,1052 ,0.92,0.9
New York,667105 ,8014627 ,8002735 ,7984647 ,167188717481 ,1607 ,1,1
North Carolina,340938 ,4065410 ,4068233 ,4044529 ,63741519947 ,1208 ,1,1
North Dakota,32295 ,346831 ,347162 ,346612 ,5483968532 ,1216 ,0.96,0.99
Ohio,314380 ,4743183 ,4739274 ,4698475 ,72001424649 ,1172 ,1.01,1
Oklahoma,117937 ,1308618 ,1311648 ,1319976 ,17789398140 ,1042 ,0.93,0.94
Oregon,174056 ,1670057 ,1668088 ,1655385 ,27741481430 ,1282 ,1,0.99
Pennsylvania,377734 ,5271323 ,5261906 ,5251559 ,88109666819 ,1288 ,1.04,1.03
Rhode Island,45764 ,430919 ,430614 ,425143 ,6620477195 ,1187 ,1.02,0.99
South Carolina,162373 ,1852752 ,1854625 ,1848613 ,25805028384 ,1072 ,0.98,0.97
South Dakota,36790 ,379166 ,380484 ,373522 ,5210237768 ,1061 ,0.97,0.98
Tennessee,199527 ,2760078 ,2771349 ,2776941 ,43489541811 ,1208 ,1.01,1.02
Texas,788416 ,11412922 ,11457569 ,11452715 ,200530838466 ,1348 ,1,1.01
Utah,130106 ,1417829 ,1423620 ,1416355 ,21912980061 ,1188 ,0.99,0.99
Vermont,29405 ,255358 ,253326 ,249051 ,3779786223 ,1151 ,0.97,0.98
Virginia,321865 ,3303651 ,3302492 ,3271224 ,58672796694 ,1371 ,0.96,0.95
Washington,230252 ,3030834 ,3031941 ,3022717 ,65942593517 ,1675 ,0.99,0.99
West Virginia,52818 ,542802 ,541596 ,541735 ,7392417516 ,1049 ,0.93,0.95
Wisconsin,193239 ,2553815 ,2554294 ,2524195 ,38054724556 ,1151 ,1.02,1.03
Wyoming,28388 ,217926 ,216884 ,213282 ,3010837808 ,1072 ,0.89,0.89
Puerto Rico,48313 ,716716 ,717178 ,728989 ,5591744387 ,597 ,0.92,0.89
Virgin Islands,3531 ,23944 ,23738 ,23761 ,269385327 ,870 ,0.81,0.67
